disruption_id,operator_ref,route_number,start_time,end_time,duration_minutes,reason,severity,description
DIS-570553,SVCT,22,2026-06-14T01:39:26.000+05:45,2026-06-14T05:33:26.000+05:45,234,Severe weather,medium,Severe weather affecting line 22 (medium severity)
DIS-738235,TDTR,42,2026-06-02T14:27:30.000+05:45,2026-06-02T16:52:30.000+05:45,145,Accident on route,low,Accident on route affecting line 42 (low severity)
DIS-512382,DAMY,X8,2026-06-06T20:34:47.000+05:45,2026-06-06T22:48:47.000+05:45,134,Vehicle breakdown,medium,Vehicle breakdown affecting line X8 (medium severity)
DIS-102403,WDBC,193,2026-06-17T15:10:49.000+05:45,2026-06-17T17:26:49.000+05:45,136,Accident on route,high,Accident on route affecting line 193 (high severity)
DIS-420715,WDBC,C,2026-06-15T19:56:34.000+05:45,2026-06-15T21:21:34.000+05:45,85,Driver shortage,severe,Driver shortage affecting line C (severe severity)
DIS-216032,UNIL,U6H,2026-07-09T14:23:31.000+05:45,2026-07-09T15:37:31.000+05:45,74,Roadworks,low,Roadworks affecting line U6H (low severity)
DIS-408431,TDTR,158,2026-07-03T18:59:42.000+05:45,2026-07-03T21:57:42.000+05:45,178,Traffic congestion,low,Traffic congestion affecting line 158 (low severity)
DIS-324964,BLUS,QC,2026-07-09T16:13:07.000+05:45,2026-07-09T19:58:07.000+05:45,225,Driver shortage,severe,Driver shortage affecting line QC (severe severity)
DIS-338545,WDBC,81,2026-07-11T00:18:39.000+05:45,2026-07-11T00:50:39.000+05:45,32,Accident on route,high,Accident on route affecting line 81 (high severity)
DIS-306007,SVCT,SL,2026-05-24T06:00:43.000+05:45,2026-05-24T06:45:43.000+05:45,45,Traffic congestion,low,Traffic congestion affecting line SL (low severity)
DIS-727599,TDTR,920,2026-05-17T19:44:37.000+05:45,2026-05-17T23:24:37.000+05:45,220,Vehicle breakdown,low,Vehicle breakdown affecting line 920 (low severity)
DIS-981274,SVCT,8,2026-05-13T20:12:44.000+05:45,2026-05-13T20:40:44.000+05:45,28,Vehicle breakdown,medium,Vehicle breakdown affecting line 8 (medium severity)
DIS-622216,SWWD,625,2026-06-15T13:20:47.000+05:45,2026-06-15T14:02:47.000+05:45,42,Driver shortage,high,Driver shortage affecting line 625 (high severity)
DIS-915615,BLUS,19,2026-05-09T13:56:49.000+05:45,2026-05-09T17:09:49.000+05:45,193,Traffic congestion,high,Traffic congestion affecting line 19 (high severity)
DIS-666969,WDBC,20,2026-07-16T15:41:15.000+05:45,2026-07-16T16:57:15.000+05:45,76,Road closure,severe,Road closure affecting line 20 (severe severity)
DIS-185997,WDBC,Q1,2026-06-01T21:46:09.000+05:45,2026-06-01T21:59:09.000+05:45,13,Roadworks,medium,Roadworks affecting line Q1 (medium severity)
DIS-501798,TDTR,16,2026-04-24T21:32:21.000+05:45,2026-04-24T23:57:21.000+05:45,145,Vehicle breakdown,severe,Vehicle breakdown affecting line 16 (severe severity)
DIS-462355,WDBC,A,2026-05-31T04:17:07.000+05:45,2026-05-31T04:42:07.000+05:45,25,Accident on route,low,Accident on route affecting line A (low severity)
DIS-650375,SVCT,200,2026-05-18T01:47:42.000+05:45,2026-05-18T03:00:42.000+05:45,73,Accident on route,low,Accident on route affecting line 200 (low severity)
DIS-211005,SWWD,X7R,2026-07-18T02:19:29.000+05:45,2026-07-18T04:18:29.000+05:45,119,Roadworks,low,Roadworks affecting line X7R (low severity)
DIS-549721,SQ,TB1,2026-05-06T20:55:55.000+05:45,2026-05-07T00:48:55.000+05:45,233,Driver shortage,severe,Driver shortage affecting line TB1 (severe severity)
DIS-995622,TDTR,15,2026-07-08T19:38:59.000+05:45,2026-07-08T22:25:59.000+05:45,167,Roadworks,high,Roadworks affecting line 15 (high severity)
DIS-221112,TDTR,12,2026-06-15T03:38:32.000+05:45,2026-06-15T05:25:32.000+05:45,107,Roadworks,severe,Roadworks affecting line 12 (severe severity)
DIS-502283,UNIL,U1A,2026-06-22T02:46:22.000+05:45,2026-06-22T05:02:22.000+05:45,136,Roadworks,high,Roadworks affecting line U1A (high severity)
DIS-817903,WDBC,762,2026-05-15T02:58:41.000+05:45,2026-05-15T05:12:41.000+05:45,134,Traffic congestion,low,Traffic congestion affecting line 762 (low severity)
DIS-360599,WDBC,33,2026-07-02T21:32:56.000+05:45,2026-07-02T23:25:56.000+05:45,113,Planned engineering works,severe,Planned engineering works affecting line 33 (severe severity)
DIS-986569,DAMY,CR7,2026-06-11T20:03:15.000+05:45,2026-06-11T21:13:15.000+05:45,70,Traffic congestion,high,Traffic congestion affecting line CR7 (high severity)
DIS-859048,BLUS,503,2026-05-08T07:51:39.000+05:45,2026-05-08T09:07:39.000+05:45,76,Roadworks,low,Roadworks affecting line 503 (low severity)
