disruption_id,operator_ref,route_number,start_time,end_time,duration_minutes,reason,severity,description
DIS-693677,DAMY,CR7,2026-05-09T18:43:19.000+05:45,2026-05-09T19:12:19.000+05:45,29,Severe weather,low,Severe weather affecting line CR7 (low severity)
DIS-605138,BLUS,538,2026-06-29T05:30:17.000+05:45,2026-06-29T09:13:17.000+05:45,223,Roadworks,severe,Roadworks affecting line 538 (severe severity)
DIS-805499,SWWD,44,2026-07-09T15:01:38.000+05:45,2026-07-09T15:25:38.000+05:45,24,Diversion,medium,Diversion affecting line 44 (medium severity)
DIS-617268,BLUS,10,2026-04-30T09:24:35.000+05:45,2026-04-30T11:01:35.000+05:45,97,Driver shortage,low,Driver shortage affecting line 10 (low severity)
DIS-871988,BLUS,12,2026-05-19T22:51:21.000+05:45,2026-05-20T02:42:21.000+05:45,231,Driver shortage,medium,Driver shortage affecting line 12 (medium severity)
DIS-878001,WDBC,17,2026-07-05T20:04:53.000+05:45,2026-07-05T22:59:53.000+05:45,175,Accident on route,severe,Accident on route affecting line 17 (severe severity)
DIS-276833,SVCT,5,2026-07-11T15:11:28.000+05:45,2026-07-11T16:16:28.000+05:45,65,Planned engineering works,low,Planned engineering works affecting line 5 (low severity)
DIS-290193,SWWD,D2,2026-06-02T22:12:52.000+05:45,2026-06-02T22:30:52.000+05:45,18,Planned engineering works,medium,Planned engineering works affecting line D2 (medium severity)
DIS-848526,TDTR,R26,2026-06-28T04:35:33.000+05:45,2026-06-28T06:16:33.000+05:45,101,Diversion,medium,Diversion affecting line R26 (medium severity)
DIS-916885,WDBC,10,2026-05-24T06:51:33.000+05:45,2026-05-24T09:19:33.000+05:45,148,Road closure,severe,Road closure affecting line 10 (severe severity)
DIS-114212,WDBC,Q7,2026-05-07T01:27:04.000+05:45,2026-05-07T03:57:04.000+05:45,150,Vehicle breakdown,low,Vehicle breakdown affecting line Q7 (low severity)
DIS-357661,WDBC,10,2026-06-01T13:30:37.000+05:45,2026-06-01T17:11:37.000+05:45,221,Driver shortage,medium,Driver shortage affecting line 10 (medium severity)
DIS-967112,DAMY,CR7,2026-05-21T01:40:04.000+05:45,2026-05-21T03:59:04.000+05:45,139,Driver shortage,high,Driver shortage affecting line CR7 (high severity)
DIS-345492,BLUS,539,2026-05-03T13:45:14.000+05:45,2026-05-03T16:17:14.000+05:45,152,Road closure,medium,Road closure affecting line 539 (medium severity)
DIS-381400,WDBC,Q7,2026-07-08T04:35:18.000+05:45,2026-07-08T05:38:18.000+05:45,63,Road closure,medium,Road closure affecting line Q7 (medium severity)
DIS-141317,SQ,DEAD,2026-07-12T11:44:50.000+05:45,2026-07-12T15:11:50.000+05:45,207,Severe weather,high,Severe weather affecting line DEAD (high severity)
DIS-837501,SWWD,37,2026-05-07T09:09:32.000+05:45,2026-05-07T11:05:32.000+05:45,116,Diversion,high,Diversion affecting line 37 (high severity)
DIS-835108,TDTR,14,2026-06-28T00:05:40.000+05:45,2026-06-28T00:38:40.000+05:45,33,Vehicle breakdown,low,Vehicle breakdown affecting line 14 (low severity)
DIS-992792,SWWD,37,2026-06-22T07:05:32.000+05:45,2026-06-22T10:20:32.000+05:45,195,Planned engineering works,low,Planned engineering works affecting line 37 (low severity)
DIS-503883,TDTR,155,2026-05-15T10:35:08.000+05:45,2026-05-15T10:59:08.000+05:45,24,Driver shortage,medium,Driver shortage affecting line 155 (medium severity)
DIS-730967,WDBC,31,2026-04-29T19:09:06.000+05:45,2026-04-29T21:54:06.000+05:45,165,Driver shortage,severe,Driver shortage affecting line 31 (severe severity)
DIS-467908,TDTR,80,2026-05-19T10:59:53.000+05:45,2026-05-19T14:24:53.000+05:45,205,Roadworks,medium,Roadworks affecting line 80 (medium severity)
DIS-133823,BLUS,757,2026-05-15T09:41:30.000+05:45,2026-05-15T10:29:30.000+05:45,48,Planned engineering works,low,Planned engineering works affecting line 757 (low severity)
DIS-513721,SWWD,987,2026-07-16T15:02:58.000+05:45,2026-07-16T17:49:58.000+05:45,167,Vehicle breakdown,high,Vehicle breakdown affecting line 987 (high severity)
DIS-320508,TDTR,842,2026-06-05T13:17:27.000+05:45,2026-06-05T13:55:27.000+05:45,38,Planned engineering works,low,Planned engineering works affecting line 842 (low severity)
DIS-462416,SWWD,26,2026-05-24T18:16:56.000+05:45,2026-05-24T19:15:56.000+05:45,59,Road closure,low,Road closure affecting line 26 (low severity)
DIS-150451,SWWD,625,2026-06-28T12:56:47.000+05:45,2026-06-28T16:04:47.000+05:45,188,Planned engineering works,severe,Planned engineering works affecting line 625 (severe severity)
DIS-500109,TDTR,R26,2026-05-29T06:56:17.000+05:45,2026-05-29T07:11:17.000+05:45,15,Severe weather,medium,Severe weather affecting line R26 (medium severity)
DIS-899048,SVCT,214,2026-05-02T02:41:06.000+05:45,2026-05-02T04:02:06.000+05:45,81,Traffic congestion,medium,Traffic congestion affecting line 214 (medium severity)
DIS-735474,DAMY,CR7,2026-05-12T05:23:54.000+05:45,2026-05-12T06:11:54.000+05:45,48,Traffic congestion,high,Traffic congestion affecting line CR7 (high severity)
DIS-592961,TDTR,842,2026-07-08T12:02:24.000+05:45,2026-07-08T13:10:24.000+05:45,68,Accident on route,severe,Accident on route affecting line 842 (severe severity)
DIS-455260,BLUS,4,2026-04-29T17:44:10.000+05:45,2026-04-29T20:03:10.000+05:45,139,Traffic congestion,low,Traffic congestion affecting line 4 (low severity)
DIS-115867,DAMY,949,2026-07-02T04:41:56.000+05:45,2026-07-02T07:46:56.000+05:45,185,Severe weather,medium,Severe weather affecting line 949 (medium severity)
DIS-845380,BLUS,3,2026-06-28T20:22:11.000+05:45,2026-06-28T23:07:11.000+05:45,165,Severe weather,high,Severe weather affecting line 3 (high severity)
DIS-741824,TDTR,42,2026-04-24T09:46:29.000+05:45,2026-04-24T13:15:29.000+05:45,209,Driver shortage,low,Driver shortage affecting line 42 (low severity)
DIS-727773,SWWD,PR7,2026-05-22T17:57:53.000+05:45,2026-05-22T20:41:53.000+05:45,164,Severe weather,low,Severe weather affecting line PR7 (low severity)
DIS-805001,SVCT,213,2026-07-14T01:10:13.000+05:45,2026-07-14T01:30:13.000+05:45,20,Road closure,severe,Road closure affecting line 213 (severe severity)
DIS-284634,SVCT,12,2026-06-03T09:36:12.000+05:45,2026-06-03T12:17:12.000+05:45,161,Driver shortage,medium,Driver shortage affecting line 12 (medium severity)
DIS-824366,WDBC,C,2026-05-22T14:20:06.000+05:45,2026-05-22T14:33:06.000+05:45,13,Roadworks,medium,Roadworks affecting line C (medium severity)
DIS-432693,TDTR,12,2026-06-20T08:48:23.000+05:45,2026-06-20T11:59:23.000+05:45,191,Driver shortage,medium,Driver shortage affecting line 12 (medium severity)
DIS-414406,WDBC,60,2026-06-07T22:36:28.000+05:45,2026-06-08T00:31:28.000+05:45,115,Driver shortage,medium,Driver shortage affecting line 60 (medium severity)
DIS-600624,WDBC,25,2026-07-05T08:33:18.000+05:45,2026-07-05T11:38:18.000+05:45,185,Diversion,medium,Diversion affecting line 25 (medium severity)
DIS-756674,SVCT,4,2026-06-23T20:14:46.000+05:45,2026-06-23T22:51:46.000+05:45,157,Traffic congestion,severe,Traffic congestion affecting line 4 (severe severity)
DIS-764089,SWWD,X7R,2026-05-23T10:05:36.000+05:45,2026-05-23T10:17:36.000+05:45,12,Accident on route,severe,Accident on route affecting line X7R (severe severity)
DIS-670753,WDBC,C,2026-07-12T04:04:11.000+05:45,2026-07-12T04:33:11.000+05:45,29,Planned engineering works,high,Planned engineering works affecting line C (high severity)
DIS-518395,BLUS,19a,2026-05-18T22:48:56.000+05:45,2026-05-18T23:13:56.000+05:45,25,Roadworks,high,Roadworks affecting line 19a (high severity)
DIS-809114,TDTR,217,2026-06-09T20:22:35.000+05:45,2026-06-09T22:15:35.000+05:45,113,Planned engineering works,medium,Planned engineering works affecting line 217 (medium severity)
DIS-162772,SWWD,R6,2026-07-02T13:49:04.000+05:45,2026-07-02T17:21:04.000+05:45,212,Accident on route,low,Accident on route affecting line R6 (low severity)
DIS-458910,WDBC,20,2026-07-02T00:52:53.000+05:45,2026-07-02T02:15:53.000+05:45,83,Road closure,medium,Road closure affecting line 20 (medium severity)
DIS-846465,WDBC,70,2026-06-22T07:44:47.000+05:45,2026-06-22T11:11:47.000+05:45,207,Severe weather,high,Severe weather affecting line 70 (high severity)
DIS-518031,SVCT,TNB,2026-05-18T16:02:48.000+05:45,2026-05-18T19:55:48.000+05:45,233,Roadworks,medium,Roadworks affecting line TNB (medium severity)
DIS-316412,BLUS,QC,2026-06-25T01:32:57.000+05:45,2026-06-25T04:35:57.000+05:45,183,Traffic congestion,high,Traffic congestion affecting line QC (high severity)
DIS-609979,SWWD,663,2026-06-13T16:05:03.000+05:45,2026-06-13T19:06:03.000+05:45,181,Driver shortage,medium,Driver shortage affecting line 663 (medium severity)
DIS-996836,SVCT,5,2026-04-27T13:19:58.000+05:45,2026-04-27T16:22:58.000+05:45,183,Accident on route,high,Accident on route affecting line 5 (high severity)
DIS-224560,SWWD,44,2026-07-08T07:27:41.000+05:45,2026-07-08T10:17:41.000+05:45,170,Driver shortage,medium,Driver shortage affecting line 44 (medium severity)
DIS-912654,WDBC,U1,2026-07-05T01:20:04.000+05:45,2026-07-05T03:26:04.000+05:45,126,Severe weather,low,Severe weather affecting line U1 (low severity)
DIS-288442,SWWD,R6,2026-06-29T22:48:51.000+05:45,2026-06-30T00:13:51.000+05:45,85,Vehicle breakdown,severe,Vehicle breakdown affecting line R6 (severe severity)
DIS-833816,SWWD,2A,2026-07-19T21:31:48.000+05:45,2026-07-19T23:22:48.000+05:45,111,Planned engineering works,high,Planned engineering works affecting line 2A (high severity)
DIS-181369,SQ,DEAD,2026-06-12T16:37:31.000+05:45,2026-06-12T18:05:31.000+05:45,88,Road closure,low,Road closure affecting line DEAD (low severity)
DIS-701512,SWWD,D3,2026-06-19T08:55:25.000+05:45,2026-06-19T11:59:25.000+05:45,184,Roadworks,high,Roadworks affecting line D3 (high severity)
DIS-387072,SQ,TW2,2026-06-25T07:45:53.000+05:45,2026-06-25T10:04:53.000+05:45,139,Traffic congestion,low,Traffic congestion affecting line TW2 (low severity)
DIS-454866,WDBC,32,2026-04-24T06:24:26.000+05:45,2026-04-24T07:54:26.000+05:45,90,Driver shortage,high,Driver shortage affecting line 32 (high severity)
DIS-163925,SQ,TW2,2026-07-19T19:24:07.000+05:45,2026-07-19T22:30:07.000+05:45,186,Vehicle breakdown,low,Vehicle breakdown affecting line TW2 (low severity)
DIS-288898,WDBC,6,2026-06-09T09:51:21.000+05:45,2026-06-09T13:36:21.000+05:45,225,Planned engineering works,low,Planned engineering works affecting line 6 (low severity)
DIS-623156,WDBC,21,2026-05-17T15:05:31.000+05:45,2026-05-17T17:37:31.000+05:45,152,Road closure,high,Road closure affecting line 21 (high severity)
DIS-941821,BLUS,504,2026-04-21T04:08:44.000+05:45,2026-04-21T08:03:44.000+05:45,235,Traffic congestion,medium,Traffic congestion affecting line 504 (medium severity)
DIS-497678,WDBC,120,2026-06-26T08:28:23.000+05:45,2026-06-26T08:43:23.000+05:45,15,Traffic congestion,medium,Traffic congestion affecting line 120 (medium severity)
DIS-619720,WDBC,12,2026-07-19T18:27:04.000+05:45,2026-07-19T20:32:04.000+05:45,125,Road closure,low,Road closure affecting line 12 (low severity)
DIS-581800,WDBC,24,2026-07-19T02:38:10.000+05:45,2026-07-19T03:43:10.000+05:45,65,Roadworks,severe,Roadworks affecting line 24 (severe severity)
DIS-150714,BLUS,19,2026-06-09T08:49:06.000+05:45,2026-06-09T11:42:06.000+05:45,173,Severe weather,high,Severe weather affecting line 19 (high severity)
DIS-501731,WDBC,15,2026-06-22T10:21:46.000+05:45,2026-06-22T10:35:46.000+05:45,14,Diversion,low,Diversion affecting line 15 (low severity)
DIS-922268,BLUS,1,2026-06-16T09:16:28.000+05:45,2026-06-16T11:35:28.000+05:45,139,Road closure,low,Road closure affecting line 1 (low severity)
DIS-254106,SQ,TB1,2026-04-28T12:21:27.000+05:45,2026-04-28T14:05:27.000+05:45,104,Road closure,high,Road closure affecting line TB1 (high severity)
DIS-298238,WDBC,26,2026-06-09T12:54:04.000+05:45,2026-06-09T13:30:04.000+05:45,36,Traffic congestion,low,Traffic congestion affecting line 26 (low severity)
DIS-314815,DAMY,949,2026-06-24T02:41:09.000+05:45,2026-06-24T06:29:09.000+05:45,228,Driver shortage,severe,Driver shortage affecting line 949 (severe severity)
DIS-284892,WDBC,744,2026-05-11T01:05:24.000+05:45,2026-05-11T04:55:24.000+05:45,230,Vehicle breakdown,low,Vehicle breakdown affecting line 744 (low severity)
DIS-301013,WDBC,ONE,2026-07-14T18:47:07.000+05:45,2026-07-14T19:44:07.000+05:45,57,Diversion,low,Diversion affecting line ONE (low severity)
DIS-824669,WDBC,940,2026-06-09T17:56:31.000+05:45,2026-06-09T21:21:31.000+05:45,205,Vehicle breakdown,medium,Vehicle breakdown affecting line 940 (medium severity)
DIS-813668,TDTR,2,2026-07-17T06:37:00.000+05:45,2026-07-17T08:00:00.000+05:45,83,Diversion,low,Diversion affecting line 2 (low severity)
DIS-225195,BLUS,16,2026-07-11T03:55:46.000+05:45,2026-07-11T07:48:46.000+05:45,233,Severe weather,severe,Severe weather affecting line 16 (severe severity)
DIS-825646,UNIL,U1A,2026-05-14T01:55:23.000+05:45,2026-05-14T05:55:23.000+05:45,240,Roadworks,high,Roadworks affecting line U1A (high severity)
DIS-975385,WDBC,898,2026-06-06T11:31:57.000+05:45,2026-06-06T13:51:57.000+05:45,140,Vehicle breakdown,severe,Vehicle breakdown affecting line 898 (severe severity)
DIS-441942,TDTR,155,2026-06-16T06:56:04.000+05:45,2026-06-16T09:37:04.000+05:45,161,Planned engineering works,low,Planned engineering works affecting line 155 (low severity)
DIS-918369,SVCT,206,2026-06-19T03:42:46.000+05:45,2026-06-19T05:50:46.000+05:45,128,Traffic congestion,medium,Traffic congestion affecting line 206 (medium severity)
